accession	description	base_count	scientific_name	tax_id	first_public	last_updated
AF006567	Drosophila persimilis alcohol dehydrogenase (Adh) and alcohol dehydrogenase (Adh-dup) genes, complete cds.	3502	Drosophila persimilis	7234	1997-09-11	2005-04-15
U65746	Drosophila buzzatii alcohol dehydrogenase (Adh-P) pseudogene, and alcohol dehydrogenase 2 (Adh-2) and alcohol dehydrogenase 1 (Adh-1) genes, complete cds.	8725	Drosophila buzzatii	7264	1996-10-21	2005-04-18
X00607	Drosophila simulans gene for alcohol dehydrogenase	4607	Drosophila simulans	7240	1985-06-13	2005-04-18
M37276	Drosophila mojavensis alcohol dehydrogenase-2 (Adh-2) and alcohol dehydrogenase-1 (Adh-1) genes, complete cds.	8783	Drosophila mojavensis	7230	1990-09-13	2006-11-14
AY279325	Drosophila orena alcohol dehydrogenase (Adh) gene, partial cds and alcohol dehydrogenase related (Adhr) gene, complete cds.	1724	Drosophila orena	7233	2004-03-31	2006-11-14
KU559568	Drosophila virilis strain 15010-1051.0 alcohol dehydrogenase (Adh1) and alcohol dehydrogenase (Adh2) genes, complete cds.	14750	Drosophila virilis	7244	2016-05-31	2016-06-24
M63291	Drosophila silvestris alcohol dehydrogenase gene, complete cds.	1635	Drosophila silvestris	47010	1991-04-04	2006-11-14
X62193	D.pseudoobscura Adh gene for alcohol dehydrogenase	3483	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
X62220	D.pseudoobscura Adh gene for alcohol dehydrogenase	3479	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
AY040854	Drosophila melanogaster alcohol dehydrogenase gene silencer sequence.	1180	Drosophila melanogaster	7227	2001-08-19	2001-08-19
JF735882	Drosophila nigromelanica alcohol dehydrogenase gene, partial cds.	626	Drosophila nigromelanica	499227	2011-10-24	2011-10-24
X62214	D.pseudoobscura Adh gene for alcohol dehydrogenase	3486	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
M60791	Drosophila adiastola alcohol dehydrogenase gene, complete cds.	912	Drosophila adiastola	7261	1992-06-06	2006-11-14
X62206	D.pseudoobscura Adh gene for alcohol dehydrogenase	3499	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
X62228	D.pseudoobscura Adh gene for alcohol dehydrogenase	3464	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
X64480	D.pseudoobscura Adh gene for alcohol dehydrogenase	3470	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
X62195	D.pseudoobscura Adh gene for alcohol dehydrogenase	3499	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
X62199	D.pseudoobscura Adh gene for alcohol dehydrogenase	3475	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
X62204	D.pseudoobscura Adh gene for alcohol dehydrogenase	3499	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
X62226	D.pseudoobscura Adh gene for alcohol dehydrogenase	3466	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
X64486	D.pseudoobscura Adh gene for alcohol dehydrogenase	3475	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
AY238778	Drosophila miranda strain SP235 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.	2042	Drosophila miranda	7229	2003-04-08	2005-04-16
AY238777	Drosophila miranda strain SP138 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.	2042	Drosophila miranda	7229	2003-04-08	2005-04-16
AY081440	Drosophila tripunctata alcohol dehydrogenase (Adh) gene, partial cds.	217	Drosophila tripunctata	141217	2002-08-09	2005-04-16
AY750123	Drosophila melanica alcohol dehydrogenase (Adh) gene, partial cds.	911	Drosophila melanica	7252	2005-12-31	2006-07-20
AY750132	Drosophila euronotus alcohol dehydrogenase (Adh) gene, partial cds.	911	Drosophila euronotus	55945	2005-12-31	2006-07-20
AY750144	Drosophila medioconstricta alcohol dehydrogenase (Adh) gene, partial cds.	911	Drosophila medioconstricta	311480	2005-12-31	2006-07-20
DQ471630	Drosophila barutani alcohol dehydrogenase (Adh) gene, partial cds.	711	Drosophila barutani	381452	2006-07-20	2006-07-20
HQ631470	Drosophila bipectinata alcohol dehydrogenase (adh) gene, partial cds.	290	Drosophila bipectinata	42026	2011-08-30	2012-01-02
AF264077	Drosophila nebulosa alcohol dehydrogenase (Adh) gene, partial cds.	405	Drosophila nebulosa	7271	2000-05-30	2005-04-15
AY006411	Drosophila picticornis alcohol dehydrogenase (Adh) gene, partial cds.	510	Drosophila picticornis	7235	2001-09-04	2005-09-26
DQ471667	Drosophila repleta alcohol dehydrogenase (Adh) gene, partial cds.	711	Drosophila repleta	30043	2006-07-20	2006-07-20
HQ631471	Drosophila bocki alcohol dehydrogenase (adh) gene, partial cds.	290	Drosophila bocki	103765	2011-08-30	2012-01-02
U26839	Drosophila borealis alcohol dehydrogenase (Adh) gene, complete cds.	961	Drosophila borealis	40368	1995-06-30	2005-04-17
AF059889	Drosophila melanica alcohol dehydrogenase (Adh) gene, partial cds.	290	Drosophila melanica	7252	1998-04-28	2005-04-15
AY006409	Drosophila adunca alcohol dehydrogenase (Adh) gene, partial cds.	508	Drosophila adunca	46893	2001-09-04	2005-09-26
AY006413	Drosophila nigribasis alcohol dehydrogenase (Adh) gene, partial cds.	510	Drosophila nigribasis	46820	2001-09-04	2005-09-26
AY750116	Drosophila lacertosa alcohol dehydrogenase (Adh) gene, partial cds.	911	Drosophila lacertosa	119604	2005-12-31	2006-07-20
AY750118	Drosophila longiserrata alcohol dehydrogenase (Adh) gene, partial cds.	911	Drosophila longiserrata	311474	2005-12-31	2006-07-20
AY750127	Drosophila paramelanica alcohol dehydrogenase (Adh) gene, partial cds.	911	Drosophila paramelanica	311477	2005-12-31	2006-07-20
AY750130	Drosophila neokadai alcohol dehydrogenase (Adh) gene, partial cds.	911	Drosophila neokadai	311476	2005-12-31	2006-07-20
DQ471655	Drosophila americana alcohol dehydrogenase (Adh) gene, partial cds.	711	Drosophila americana	40366	2006-07-20	2006-07-20
HQ631473	Drosophila curveadeagus alcohol dehydrogenase (adh) gene, partial cds.	290	Drosophila curveaedeagus (nomen nudum)	2609304	2011-08-30	2012-01-02
HQ631484	Drosophila pulchrella alcohol dehydrogenase (adh) gene, partial cds.	290	Drosophila pulchrella	187394	2011-08-30	2012-01-02
U94203	Drosophila petalopeza alcohol dehydrogenase (Adh) gene, partial cds.	204	Drosophila petalopeza	58309	1998-02-23	2005-04-18
GQ376034	Drosophila pseudoananassae alcohol dehydrogenase (ADH) gene, partial cds.	410	Drosophila pseudoananassae	65964	2009-08-02	2009-08-03
